Country,ISO_Code,GDLCODE,Region
Mauritius,MUS,MUSr102,"South (Grand Port, Savanne, Plaines Wilhems, Black River)"
Mexico,MEX,MEXt,Total
Mexico,MEX,MEXr101,Aguascalientes
Mexico,MEX,MEXr102,Baja California
Mexico,MEX,MEXr103,Baja California Sur
Mexico,MEX,MEXr104,Campeche
Mexico,MEX,MEXr107,Chiapas
Mexico,MEX,MEXr108,Chihuahua
Mexico,MEX,MEXr105,Coahuila
Mexico,MEX,MEXr106,Colima
Mexico,MEX,MEXr109,Distrito Federal
Mexico,MEX,MEXr110,Durango
Mexico,MEX,MEXr111,Guanajuato
Mexico,MEX,MEXr112,Guerrero
Mexico,MEX,MEXr113,Hidalgo
Mexico,MEX,MEXr114,Jalisco
Mexico,MEX,MEXr115,Mexico
Mexico,MEX,MEXr116,Michoacan de Ocampo
Mexico,MEX,MEXr117,Morelos
Mexico,MEX,MEXr118,Nayarit
Mexico,MEX,MEXr119,Nuevo Leon
Mexico,MEX,MEXr120,Oaxaca
Mexico,MEX,MEXr121,Puebla
Mexico,MEX,MEXr122,Queretaro
Mexico,MEX,MEXr123,Quintana Roo
Mexico,MEX,MEXr124,San Luis Potosi
Mexico,MEX,MEXr125,Sinaloa
Mexico,MEX,MEXr126,Sonora
Mexico,MEX,MEXr127,Tabasco
Mexico,MEX,MEXr128,Tamaulipas
Mexico,MEX,MEXr129,Tlaxcala
Mexico,MEX,MEXr130,Veracruz
Mexico,MEX,MEXr131,Yucatan
Mexico,MEX,MEXr132,Zacatecas
Micronesia (Federated States of),FSM,FSMt,Total
Moldova,MDA,MDAt,Total
Moldova,MDA,MDAr102,Center
Moldova,MDA,MDAr104,Chisinau
Moldova,MDA,MDAr101,North
Moldova,MDA,MDAr103,South
Mongolia,MNG,MNGt,Total
Mongolia,MNG,MNGr103,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
Mongolia,MNG,MNGr104,"Eastern (Dornod, Sukhbaatar, Khentii)"
Mongolia,MNG,MNGr102,"Khangai (Arkhangai, Bayankhongor, Bulgan, Uvurkhangai, Khuvsgul, Orkhon)"
Mongolia,MNG,MNGr105,Ulaanbaatar
Mongolia,MNG,MNGr101,"Western (Bayan-Ulgii, Govi-Altai, Zavkhan, Uvs, Khovd)"
Monte Negro,MNE,MNEt,Total
Monte Negro,MNE,MNEr102,Centre
Monte Negro,MNE,MNEr101,North
Monte Negro,MNE,MNEr103,South
Morocco,MAR,MARt,Total
Morocco,MAR,MARr103,Centre
Morocco,MAR,MARr102,Centre north
Morocco,MAR,MARr105,Centre south
Morocco,MAR,MARr104,Eastern
Morocco,MAR,MARr101,North west
Morocco,MAR,MARr107,South
Morocco,MAR,MARr106,Tensift
Mozambique,MOZ,MOZt,Total
Mozambique,MOZ,MOZr102,Cabo delgado
Mozambique,MOZ,MOZr109,Gaza
Mozambique,MOZ,MOZr108,Inhambane
Mozambique,MOZ,MOZr106,Manica
Mozambique,MOZ,MOZr111,Maputo Cidade
Mozambique,MOZ,MOZr110,Maputo Provincia
Mozambique,MOZ,MOZr103,Nampula
Mozambique,MOZ,MOZr101,Niassa
Mozambique,MOZ,MOZr107,Sofala
Mozambique,MOZ,MOZr105,Tete
Mozambique,MOZ,MOZr104,Zambezia
Myanmar,MMR,MMRt,Total
Myanmar,MMR,MMRr114,Ayeyarwaddy
Myanmar,MMR,MMRr107,Bago
Myanmar,MMR,MMRr104,Chin
Myanmar,MMR,MMRr101,Kachin
Myanmar,MMR,MMRr102,Kayah
Myanmar,MMR,MMRr103,Kayin
Myanmar,MMR,MMRr108,Magway
Myanmar,MMR,MMRr109,"Mandalay, NayPyitaw"
Myanmar,MMR,MMRr110,Mon
Myanmar,MMR,MMRr111,Rakhine
Myanmar,MMR,MMRr105,Sagaing
Myanmar,MMR,MMRr113,Shan
Myanmar,MMR,MMRr106,Taninthayi
Myanmar,MMR,MMRr112,Yangon
Namibia,NAM,NAMt,Total
Namibia,NAM,NAMr101,Caprivi
Namibia,NAM,NAMr102,Erongo
Namibia,NAM,NAMr103,Hardap
Namibia,NAM,NAMr104,Karas
Namibia,NAM,NAMr108,Kavango
Namibia,NAM,NAMr105,Khomas
Namibia,NAM,NAMr106,Kunene
Namibia,NAM,NAMr107,Ohangwena
Namibia,NAM,NAMr109,Omaheke
Namibia,NAM,NAMr110,Omusati
Namibia,NAM,NAMr111,Oshana
Namibia,NAM,NAMr112,Oshikoto
Namibia,NAM,NAMr113,Otjozondjupa
Nepal,NPL,NPLt,Total
Nepal,NPL,NPLr102,Central
Nepal,NPL,NPLr101,Eastern
Nepal,NPL,NPLr105,Far-western
Nepal,NPL,NPLr104,Mid-western
Nepal,NPL,NPLr103,Western
Netherlands,NLD,NLDt,Total
Netherlands,NLD,NLDr103,Drenthe
Netherlands,NLD,NLDr106,Flevoland
Netherlands,NLD,NLDr102,Friesland
Netherlands,NLD,NLDr105,Gelderland
Netherlands,NLD,NLDr101,Groningen
Netherlands,NLD,NLDr112,Limburg
Netherlands,NLD,NLDr111,Noord-Brabant
Netherlands,NLD,NLDr108,Noord-Holland
Netherlands,NLD,NLDr104,Overijssel
Netherlands,NLD,NLDr107,Utrecht
Netherlands,NLD,NLDr110,Zeeland
Netherlands,NLD,NLDr109,Zuid-Holland
New Zealand,NZL,NZLt,Total
New Zealand,NZL,NZLr102,Auckland
New Zealand,NZL,NZLr104,Bay of Plenty
New Zealand,NZL,NZLr113,Canterbury
New Zealand,NZL,NZLr105,Gisborne
New Zealand,NZL,NZLr106,Hawkes Bay
New Zealand,NZL,NZLr108,Manawatu-Wanganui
New Zealand,NZL,NZLr111,Marlborough
New Zealand,NZL,NZLr101,Northland
New Zealand,NZL,NZLr114,Otago
New Zealand,NZL,NZLr115,Southland
New Zealand,NZL,NZLr107,Taranaki
New Zealand,NZL,NZLr110,Tasman - Nelson
New Zealand,NZL,NZLr103,Waikato
New Zealand,NZL,NZLr109,Wellington
New Zealand,NZL,NZLr112,West Coast
Nicaragua,NIC,NICt,Total
Nicaragua,NIC,NICr103,"Atlantico (Rio San Juan, Atlantico Norte (Raan), Atlantico Sur (Raas))"
Nicaragua,NIC,NICr102,"Central-Norte (Boaco, Chontales, Jinotega, Matagalpa, Esteli, Madriz, Nueva Segovia)"
Nicaragua,NIC,NICr101,"Pacifico (Chinandega, Leon, Managua, Masaya, Granada, Carazo, Rivas)"
Niger,NER,NERt,Total
Niger,NER,NERr101,Agadez
Niger,NER,NERr102,Diffa
Niger,NER,NERr103,Dosso
Niger,NER,NERr104,Maradi
Niger,NER,NERr106,Tahoua
Niger,NER,NERr105,Tillabery (incl Niamey)
Niger,NER,NERr107,Zinder
Nigeria,NGA,NGAt,Total
Nigeria,NGA,NGAr122,Abia
Nigeria,NGA,NGAr137,Abuja FCT
Nigeria,NGA,NGAr108,Adamawa
Nigeria,NGA,NGAr101,Akwa Ibom
Nigeria,NGA,NGAr102,Anambra
Nigeria,NGA,NGAr103,Bauchi
Nigeria,NGA,NGAr131,Bayelsa
Nigeria,NGA,NGAr105,Benue
Nigeria,NGA,NGAr106,Borno
Nigeria,NGA,NGAr107,Cross River
Nigeria,NGA,NGAr123,Delta
Nigeria,NGA,NGAr132,Ebonyi
Nigeria,NGA,NGAr104,Edo
Nigeria,NGA,NGAr133,Ekiti
Nigeria,NGA,NGAr124,Enugu
Nigeria,NGA,NGAr134,Gombe
Nigeria,NGA,NGAr109,Imo
Nigeria,NGA,NGAr125,Jigawa
Nigeria,NGA,NGAr110,Kaduna
Nigeria,NGA,NGAr111,Kano
Nigeria,NGA,NGAr112,Katsina
Nigeria,NGA,NGAr126,Kebbi
Nigeria,NGA,NGAr127,Kogi
Nigeria,NGA,NGAr113,Kwara
Nigeria,NGA,NGAr114,Lagos
Nigeria,NGA,NGAr135,Nassarawa
Nigeria,NGA,NGAr115,Niger
Nigeria,NGA,NGAr116,Ogun
Nigeria,NGA,NGAr117,Ondo
Nigeria,NGA,NGAr128,Osun
Nigeria,NGA,NGAr118,Oyo
Nigeria,NGA,NGAr119,Plateau
Nigeria,NGA,NGAr120,Rivers
Nigeria,NGA,NGAr121,Sokoto
Nigeria,NGA,NGAr129,Taraba
Nigeria,NGA,NGAr130,Yobe
Nigeria,NGA,NGAr136,Zamfora
North Macedonia,MKD,MKDt,Total
North Macedonia,MKD,MKDr108,East
North Macedonia,MKD,MKDr104,North East
North Macedonia,MKD,MKDr102,Pelagoniski
North Macedonia,MKD,MKDr107,Poloski
North Macedonia,MKD,MKDr101,Skopski
North Macedonia,MKD,MKDr106,South East
North Macedonia,MKD,MKDr105,South West
North Macedonia,MKD,MKDr103,Vardarski
Norway,NOR,NORt,Total
Norway,NOR,NORr104,Agder og Rogaland
Norway,NOR,NORr102,Hedmark og Oppland
Norway,NOR,NORr107,Nord-Norge
Norway,NOR,NORr101,Oslo og Akershus
Norway,NOR,NORr103,Sor-Ostlandet
Norway,NOR,NORr106,Trondelag
Norway,NOR,NORr105,Vestlandet
Oman,OMN,OMNt,Total
Pakistan,PAK,PAKt,Total
Pakistan,PAK,PAKr107,AJK
Pakistan,PAK,PAKr104,Balochistan
Pakistan,PAK,PAKr108,FATA
Pakistan,PAK,PAKr106,Gilgit Baltistan
Pakistan,PAK,PAKr105,Islamabad (ICT)
Pakistan,PAK,PAKr103,Khyber Pakhtunkhwa (NWFrontier)
Pakistan,PAK,PAKr101,Punjab
Pakistan,PAK,PAKr102,Sindh
Palestine,PSE,PSEt,Total
Palestine,PSE,PSEr104,"Bethlehem, Hebron"
Palestine,PSE,PSEr106,"Deir El-Balah, Khan Yunis, Rafah"
Palestine,PSE,PSEr101,"Jenin, Tubas, Tulkarm, Nablus, Qalqiliya"
Palestine,PSE,PSEr103,Jerusalem
Palestine,PSE,PSEr105,"North Gaza, Gaza"
Palestine,PSE,PSEr102,"Salfit, Ramallah, Al-Bireh, Jericho, Al Aghwar"
Panama,PAN,PANt,Total
Panama,PAN,PANr101,Bocas del Toro
Panama,PAN,PANr104,Chiriqui
Panama,PAN,PANr102,Cocle
Panama,PAN,PANr103,Colon
Panama,PAN,PANr105,Darien
Panama,PAN,PANr111,Embera Wounaan
Panama,PAN,PANr106,Herrera
Panama,PAN,PANr110,Kuna Yala
Panama,PAN,PANr107,Los Santos
Panama,PAN,PANr112,Ngobe Bugle
Panama,PAN,PANr108,Panama
Panama,PAN,PANr109,Veraguas
Papua New Guinea,PNG,PNGt,Total
Papua New Guinea,PNG,PNGr120,Autonomous Region of Bougainville
Papua New Guinea,PNG,PNGr103,Central
Papua New Guinea,PNG,PNGr110,"Chimbu, Simbu"
Papua New Guinea,PNG,PNGr118,East New Britain
Papua New Guinea,PNG,PNGr114,East Sepik
Papua New Guinea,PNG,PNGr111,Eastern Highlands
Papua New Guinea,PNG,PNGr108,Enga
Papua New Guinea,PNG,PNGr102,Gulf
Papua New Guinea,PNG,PNGr121,Hela
Papua New Guinea,PNG,PNGr122,Jiwaka
Papua New Guinea,PNG,PNGr113,Madang
Papua New Guinea,PNG,PNGr116,Manus
Papua New Guinea,PNG,PNGr105,Milne Bay
Papua New Guinea,PNG,PNGr112,Morobe
Papua New Guinea,PNG,PNGr104,National Capital District
Papua New Guinea,PNG,PNGr117,New Ireland
Papua New Guinea,PNG,PNGr106,"Northern, Oro"
Papua New Guinea,PNG,PNGr107,Southern Highlands
Papua New Guinea,PNG,PNGr119,West New Britain
Papua New Guinea,PNG,PNGr115,"West Sepik, Sandaun"
Papua New Guinea,PNG,PNGr101,Western
Papua New Guinea,PNG,PNGr109,Western Highlands
Paraguay,PRY,PRYt,Total
Paraguay,PRY,PRYr105,"Central (Asuncion, Central)"
Paraguay,PRY,PRYr102,"North-East (Caaguazu, Alto Parana, Canideyu)"
Paraguay,PRY,PRYr101,"North-West (Boqueron, Alto Paraguay, Presidente Hayes, Conception, Amambay, San pedro, Cordillera)"
Paraguay,PRY,PRYr104,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
Paraguay,PRY,PRYr103,"South-West (Caazapa, Itapua)"
Peru,PER,PERt,Total
Peru,PER,PERr106,"Central (Huancavelica, Huanuco, Junin, Pasco)"
Peru,PER,PERr103,"East (Madre de Dios, Cusco, Puno, Apurimac)"
Peru,PER,PERr101,"North (Tumbes, Piura, Lambayeque, Cajamarca, La Libertad)"
Peru,PER,PERr102,"North East (Amazonas, Loreto, San Martin, Ucayali)"
Peru,PER,PERr104,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)"
Peru,PER,PERr105,"West (Ancash, Lima, Callao)"
Philippines,PHL,PHLt,Total
Philippines,PHL,PHLr117,ARMM
Philippines,PHL,PHLr102,Cordillera Admin Region
Philippines,PHL,PHLr103,I-Ilocos
Philippines,PHL,PHLr104,II-Cagayan Valley
Philippines,PHL,PHLr105,III-Central Luzon
Philippines,PHL,PHLr106,IVA-CALABARZON
Philippines,PHL,PHLr107,IVB-MIMAROPA
Philippines,PHL,PHLr112,IX-Zamboanga Peninsula
Philippines,PHL,PHLr101,National Capital Region
Philippines,PHL,PHLr108,V-Bicol
Philippines,PHL,PHLr109,VI-Western Visayas
Philippines,PHL,PHLr110,VII-Central Visayas
Philippines,PHL,PHLr111,VIII-Eastern Visayas
Philippines,PHL,PHLr113,X-Northern Mindanao
Philippines,PHL,PHLr114,XI-Davao
Philippines,PHL,PHLr115,XII-SOCCSKSARGEN
Philippines,PHL,PHLr116,XIII-Caraga
Poland,POL,POLt,Total
Poland,POL,POLr112,Dolnoslaskie
Poland,POL,POLr114,Kujawsko-Pomorskie
Poland,POL,POLr101,Lodzkie
Poland,POL,POLr105,Lubelskie
Poland,POL,POLr111,Lubuskie
Poland,POL,POLr103,Malopolskie
Poland,POL,POLr102,Mazowieckie
Poland,POL,POLr113,Opolskie
Poland,POL,POLr106,Podkarpackie
Poland,POL,POLr108,Podlaskie
Poland,POL,POLr116,Pomorskie
Poland,POL,POLr104,Slaskie
Poland,POL,POLr107,Swietokrzyskie
Poland,POL,POLr115,Warminsko-Mazurskie
Poland,POL,POLr109,Wielkopolskie
Poland,POL,POLr110,Zachodniopomorskie
Portugal,PRT,PRTt,Total
Portugal,PRT,PRTr105,Alentejo
Portugal,PRT,PRTr102,Algarve
Portugal,PRT,PRTr104,Area Metropolitana de Lisboa
Portugal,PRT,PRTr103,Centro
Portugal,PRT,PRTr101,Norte
Portugal,PRT,PRTr107,Regiao Autonoma da Madeira
Portugal,PRT,PRTr106,Regiao Autonoma dos Acores
Qatar,QAT,QATt,Total
Romania,ROU,ROUt,Total
Romania,ROU,ROUr108,Bucuresti
Romania,ROU,ROUr107,Centru
Romania,ROU,ROUr101,Nord-Est
Romania,ROU,ROUr106,Nord-Vest
Romania,ROU,ROUr103,Sud
Romania,ROU,ROUr102,Sud-Est
Romania,ROU,ROUr104,Sud-Vest Oltenia
Romania,ROU,ROUr105,Vest
Russian Federation,RUS,RUSt,Total
Russian Federation,RUS,RUSr101,The Central Federal District
Russian Federation,RUS,RUSr108,The Far East  Federal District
Russian Federation,RUS,RUSr102,The North West Federal District
Russian Federation,RUS,RUSr104,The North-Caucasian Federal District
Russian Federation,RUS,RUSr105,The Privolzhsky (Volga) Federal District
Russian Federation,RUS,RUSr107,The Siberian  Federal District
Russian Federation,RUS,RUSr103,The South Federal District
Russian Federation,RUS,RUSr106,The Urals  Federal District
Rwanda,RWA,RWAt,Total
Rwanda,RWA,RWAr101,City of Kigali
Rwanda,RWA,RWAr105,East
Rwanda,RWA,RWAr104,North
Rwanda,RWA,RWAr102,South
Rwanda,RWA,RWAr103,West
Saint Kitts and Nevis,KNA,KNA,Total
Saint Lucia,LCA,LCAt,Total
Saint Vincent and the Grenadines,VCT,VCTt,Total
Samoa,WSM,WSMt,Total
Sao Tome & Principe,STP,STPt,Total
Sao Tome & Principe,STP,STPr101,Regiao Centro
Sao Tome & Principe,STP,STPr104,Regiao do Principe
Sao Tome & Principe,STP,STPr103,Regiao Norte
Sao Tome & Principe,STP,STPr102,Regiao Sul
Saudi Arabia,SAU,SAUt,Total
Saudi Arabia,SAU,SAUr101,"Center (Riadh, Qassim)"
Saudi Arabia,SAU,SAUr104,Eastern province
Saudi Arabia,SAU,SAUr105,"North (Northern Borders, Al Jawf, Hail)"
Saudi Arabia,SAU,SAUr103,"South (Bahah, Jizan, Asir, Najran)"
Saudi Arabia,SAU,SAUr102,"West (Makka, Madinah, Tabuk)"
Senegal,SEN,SENt,Total
Senegal,SEN,SENr101,Dakar
Senegal,SEN,SENr103,Diourbel
Senegal,SEN,SENr109,Fatick
Senegal,SEN,SENr106,Kaolack
Senegal,SEN,SENr110,Kolda
Senegal,SEN,SENr108,Louga
Senegal,SEN,SENr104,Saint Louis
Senegal,SEN,SENr105,Tambacounda
Senegal,SEN,SENr107,Thies
Senegal,SEN,SENr102,Ziguinchor
Serbia,SRB,SRBt,Total
Serbia,SRB,SRBr101,Belgrade
Serbia,SRB,SRBr104,South and East Serbia
Serbia,SRB,SRBr103,Sumadija and West Serbia
Serbia,SRB,SRBr102,Vojvodina
Sierra Leone,SLE,SLEt,Total
Sierra Leone,SLE,SLEr109,Bo
Sierra Leone,SLE,SLEr101,Bombali
Sierra Leone,SLE,SLEr110,Bonthe
Sierra Leone,SLE,SLEr106,Kailahun
Sierra Leone,SLE,SLEr102,Kambia
Sierra Leone,SLE,SLEr107,Kenema
Sierra Leone,SLE,SLEr103,Koinadugu
Sierra Leone,SLE,SLEr108,Kono
Sierra Leone,SLE,SLEr111,Moyamba
Sierra Leone,SLE,SLEr104,Port Loko
Sierra Leone,SLE,SLEr112,Pujehun
Sierra Leone,SLE,SLEr105,Tonkolili
Sierra Leone,SLE,SLEr113,Western Rural
Sierra Leone,SLE,SLEr114,Western Urban
Singapore,SGP,SGPt,Total
Slovakia,SVK,SVKt,Total
Slovakia,SVK,SVKr101,Bratislavsky kraj
Slovakia,SVK,SVKr103,Stredne Slovensko
Slovakia,SVK,SVKr104,Vychodne Slovensko
Slovakia,SVK,SVKr102,Zapadne Slovensko
Slovenia,SVN,SVNt,Total
Slovenia,SVN,SVNr110,Gorenjska
Slovenia,SVN,SVNr111,Goriska
Slovenia,SVN,SVNr107,Jugovzhodna Slovenija
Slovenia,SVN,SVNr103,Koroska
Slovenia,SVN,SVNr112,Obalno-kraska
Slovenia,SVN,SVNr109,Osrednjeslovenska
Slovenia,SVN,SVNr102,Podravska
Slovenia,SVN,SVNr101,Pomurska
Slovenia,SVN,SVNr106,Posavska
Slovenia,SVN,SVNr108,Primorsko-notranjska
Slovenia,SVN,SVNr104,Savinjska
Slovenia,SVN,SVNr105,Zasavska
Solomon Islands,SLB,SLBt,Total
Somalia,SOM,SOMt,Total
Somalia,SOM,SOMr102,Awdal
Somalia,SOM,SOMr109,Bakool
Somalia,SOM,SOMr116,Banadir
Somalia,SOM,SOMr108,Bari
Somalia,SOM,SOMr110,Bay
Somalia,SOM,SOMr117,Galguduud
Somalia,SOM,SOMr111,Gedo
Somalia,SOM,SOMr113,Hiran
Somalia,SOM,SOMr118,Lower Juba
Somalia,SOM,SOMr115,Lower Shabelle
Somalia,SOM,SOMr112,Middle Juba
Somalia,SOM,SOMr114,Middle Shabelle
Somalia,SOM,SOMr106,Mudug
Somalia,SOM,SOMr107,Nugal
Somalia,SOM,SOMr103,Sanaag
Somalia,SOM,SOMr104,Sool
Somalia,SOM,SOMr105,Togdhere
Somalia,SOM,SOMr101,W Galbeed
South Africa,ZAF,ZAFt,Total
South Africa,ZAF,ZAFr102,Eastern Cape
South Africa,ZAF,ZAFr104,Free State
South Africa,ZAF,ZAFr107,Gauteng
South Africa,ZAF,ZAFr105,KwaZulu Natal
South Africa,ZAF,ZAFr108,Mpumalanga
South Africa,ZAF,ZAFr106,North West
South Africa,ZAF,ZAFr103,Northern Cape
South Africa,ZAF,ZAFr109,Northern Province
South Africa,ZAF,ZAFr101,Western Cape
South Korea,KOR,KORt,Total
South Korea,KOR,KORr101,Capital Region
South Korea,KOR,KORr105,Chungcheong Region
South Korea,KOR,KORr106,Gangwon Region
South Korea,KOR,KORr103,Gyeongbuk Region
South Korea,KOR,KORr102,Gyeongnam Region
South Korea,KOR,KORr107,Jeju
South Korea,KOR,KORr104,Jeolla Region
South Sudan,SSD,SSDt,Total
South Sudan,SSD,SSDr109,Central Equatoria
South Sudan,SSD,SSDr110,Eastern Equatoria
South Sudan,SSD,SSDr102,Jonglei
South Sudan,SSD,SSDr107,Lakes
South Sudan,SSD,SSDr105,Northern Bahr El Ghazal
South Sudan,SSD,SSDr103,Unity
South Sudan,SSD,SSDr101,Upper Nile
South Sudan,SSD,SSDr104,Warrap
South Sudan,SSD,SSDr106,Western Bahr El Ghazal
South Sudan,SSD,SSDr108,Western Equatoria
Spain,ESP,ESPt,Total
Spain,ESP,ESPr115,Andalucia
Spain,ESP,ESPr107,Aragon
Spain,ESP,ESPr119,Canarias
Spain,ESP,ESPr103,Cantabria
Spain,ESP,ESPr109,Castilla y Leon
Spain,ESP,ESPr110,Castilla-la Mancha
Spain,ESP,ESPr112,Cataluna
Spain,ESP,ESPr117,Ciudad Autonoma de Ceuta
Spain,ESP,ESPr118,Ciudad Autonoma de Melilla
Spain,ESP,ESPr108,Comunidad de Madrid
Spain,ESP,ESPr105,Comunidad Foral de Navarra
Spain,ESP,ESPr113,Comunidad Valenciana
Spain,ESP,ESPr111,Extremadura
Spain,ESP,ESPr101,Galicia
Spain,ESP,ESPr114,Illes Balears
Spain,ESP,ESPr106,La Rioja
Spain,ESP,ESPr104,Pais Vasco
Spain,ESP,ESPr102,Principado de Asturias
Spain,ESP,ESPr116,Region de Murcia
Sri Lanka,LKA,LKAt,Total
Sudan,SDN,SDNt,Total
Sudan,SDN,SDNr105,Al Gedarif
Sudan,SDN,SDNr107,Al Gezira
Sudan,SDN,SDNr110,Blue Nile
Sudan,SDN,SDNr104,Kassala
Sudan,SDN,SDNr106,Khartoum
Sudan,SDN,SDNr102,Nahr El Nil
Sudan,SDN,SDNr113,North Darfur
Sudan,SDN,SDNr111,North Kordofan
Sudan,SDN,SDNr101,Northern
Sudan,SDN,SDNr103,Red Sea
Sudan,SDN,SDNr109,Sinnar
Sudan,SDN,SDNr115,South Darfur
Sudan,SDN,SDNr112,South Kordofan
Sudan,SDN,SDNr114,West Darfur
Sudan,SDN,SDNr108,White Nile
Suriname,SUR,SURt,Total
Suriname,SUR,SURr105,Brokopondo and Sipaliwini
Suriname,SUR,SURr104,Commewijne and Marowijne
Suriname,SUR,SURr103,"Nickerie, Coronie and Saramacca"
Suriname,SUR,SURr101,Paramaribo
Suriname,SUR,SURr102,Wanica and Para
Sweden,SWE,SWEt,Total
Sweden,SWE,SWEr107,Mellersta Norrland
Sweden,SWE,SWEr106,Norra Mellansverige
Sweden,SWE,SWEr102,Ostra Mellansverige
Sweden,SWE,SWEr108,Ovre Norrland
Sweden,SWE,SWEr103,Smaland med oarna
Sweden,SWE,SWEr101,Stockholm
Sweden,SWE,SWEr104,Sydsverige
Sweden,SWE,SWEr105,Vastsverige
Switzerland,CHE,CHEt,Total
Switzerland,CHE,CHEr106,Central Switzerland
Switzerland,CHE,CHEr105,Eastern Switzerland
Switzerland,CHE,CHEr102,Espace Mittelland
Switzerland,CHE,CHEr101,Lake Geneva region
Switzerland,CHE,CHEr103,Northwestern Switzerland
Switzerland,CHE,CHEr107,Ticino
Switzerland,CHE,CHEr104,Zurich
Syria,SYR,SYRt,Total
Syria,SYR,SYRr111,Al Hasaka
Syria,SYR,SYRr106,Al Latakia
Syria,SYR,SYRr114,Al Qunitara - Quneitra
Syria,SYR,SYRr109,Al Raka-Raqqa
Syria,SYR,SYRr112,Al Swida - Sweida
Syria,SYR,SYRr101,Damascus
Syria,SYR,SYRr113,Daraa
Syria,SYR,SYRr110,Der El Zour - Deir Ezzor
Syria,SYR,SYRr107,Edlab Idleb
Syria,SYR,SYRr108,Halab - Aleppo
Syria,SYR,SYRr104,Hamaa
Syria,SYR,SYRr103,Homs
Syria,SYR,SYRr102,Rural Damascus
Syria,SYR,SYRr105,Tartous
Tajikistan,TJK,TJKt,Total
Tajikistan,TJK,TJKr104,DRS
Tajikistan,TJK,TJKr101,Duchanbe
Tajikistan,TJK,TJKr105,GBAO
Tajikistan,TJK,TJKr102,Khatlon
Tajikistan,TJK,TJKr103,Sughd (formerly Leninabad)
Tanzania,TZA,TZAt,Total
Tanzania,TZA,TZAr202," Arusha, Manyara"
Tanzania,TZA,TZAr207, Dar Es Salam
Tanzania,TZA,TZAr201, Dodoma
Tanzania,TZA,TZAr211," Iringa, Njombe"
Tanzania,TZA,TZAr218, Kagera
Tanzania,TZA,TZAr216, Kigoma
Tanzania,TZA,TZAr203, Kilimanjaro
Tanzania,TZA,TZAr208, Lindi
Tanzania,TZA,TZAr220, Mara
Tanzania,TZA,TZAr212, Mbeya
Tanzania,TZA,TZAr205, Morogoro
Tanzania,TZA,TZAr209, Mtwara
Tanzania,TZA,TZAr219," Mwanza, Geita"
Tanzania,TZA,TZAr224, Pemba North
Tanzania,TZA,TZAr225, Pemba South
Tanzania,TZA,TZAr206, Pwani
Tanzania,TZA,TZAr215," Rukwa, Katavi"
Tanzania,TZA,TZAr210, Ruvuma
Tanzania,TZA,TZAr217," Shinyanga, Simiyu"
Tanzania,TZA,TZAr213, Singida
Tanzania,TZA,TZAr214, Tabora
Tanzania,TZA,TZAr204, Tanga
Tanzania,TZA,TZAr221, Zanzibar North
Tanzania,TZA,TZAr222, Zanzibar South
Tanzania,TZA,TZAr223, Zanzibar West
Thailand,THA,THAt,Total
Thailand,THA,THAr101,Bangkok
Thailand,THA,THAr102,Central
Thailand,THA,THAr103,North
Thailand,THA,THAr104,Northeast
Thailand,THA,THAr105,South
Timor Leste,TLS,TLSt,Total
Timor Leste,TLS,TLSr101,Aileu
Timor Leste,TLS,TLSr102,Ainaro
Timor Leste,TLS,TLSr103,Baucau
Timor Leste,TLS,TLSr104,Bobonaro
Timor Leste,TLS,TLSr105,Cova Lima
Timor Leste,TLS,TLSr106,Dili
Timor Leste,TLS,TLSr107,Ermera
Timor Leste,TLS,TLSr109,Lautem
Timor Leste,TLS,TLSr108,Liquica
Timor Leste,TLS,TLSr111,Manatuto
Timor Leste,TLS,TLSr110,Manufahi
Timor Leste,TLS,TLSr112,Oecussi
Timor Leste,TLS,TLSr113,Viqueque
Togo,TGO,TGOt,Total
Togo,TGO,TGOr104,Centrale
Togo,TGO,TGOr105,Kara
Togo,TGO,TGOr101,Lome
Togo,TGO,TGOr102,Maritime
Togo,TGO,TGOr103,Plateaux
Togo,TGO,TGOr106,Savanes
Tonga,TON,TONt,Total
Trinidad & Tobago,TTO,TTOt,Total
Trinidad & Tobago,TTO,TTOr103,Central
Trinidad & Tobago,TTO,TTOr102,East
Trinidad & Tobago,TTO,TTOr101,North West
Trinidad & Tobago,TTO,TTOr104,South West
Trinidad & Tobago,TTO,TTOr105,Tobago
Tunisia,TUN,TUNt,Total
Tunisia,TUN,TUNr105,"Centre Est (Sousse, Monastir, Mahdia, Sfax)"
Tunisia,TUN,TUNr104,"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)"
Tunisia,TUN,TUNr101,"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)"
Tunisia,TUN,TUNr102,"Nord Est (Nabeul, Zaghouan, Bizerte)"
Tunisia,TUN,TUNr103,"Nord Ouest (Beja, Jendouba, Kef, Siliana)"
Tunisia,TUN,TUNr107,"Sud Est (Gabes, Medinine, Tataouine)"
Tunisia,TUN,TUNr106,"Sud Ouest (Gafsa, Tozeur, Kebili)"
Turkey,TUR,TURt,Total
