Country,ISO_Code,GDLCODE,Region
Central African Republic CAR,CAF,CAFt,Total
Central African Republic CAR,CAF,CAFr106,Bangui
Central African Republic CAR,CAF,CAFr101,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi)"
Central African Republic CAR,CAF,CAFr102,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)"
Central African Republic CAR,CAF,CAFr103,"RS III (Ouham Pende, Ouham)"
Central African Republic CAR,CAF,CAFr104,"RS IV (Ouaka, Haute-Kotto, Baminigui Bangoran, Vakaga)"
Central African Republic CAR,CAF,CAFr105,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
Chad,TCD,TCDt,Total
Chad,TCD,TCDr101,Zone 1 (N'Djamena)
Chad,TCD,TCDr102,"Zone 2 (BET (Borkou, Ennedi, Tibesti), Kanem (incl Barh El Gazal), Lac)"
Chad,TCD,TCDr103,"Zone 3 (Guera, Batha Est & Ouest, Salamat)"
Chad,TCD,TCDr104,"Zone 4 (Ouaddai (incl Assongha, Sili), Biltine (new name Wad Fira))"
Chad,TCD,TCDr105,"Zone 5 (Chari-Baguirmi (Dababa, Baguirmi, Hadjer Lamis))"
Chad,TCD,TCDr106,"Zone 6 (Mayo-Kebbi (Kabia, Mayo Boneye & Mayo Dala))"
Chad,TCD,TCDr107,"Zone 7 (Logone Occidental, Logone Oriental (incl Monts de Lam), Tandjile Est & Ouest)"
Chad,TCD,TCDr108,"Zone 8 (Moyen-Chari (Barh Koh, Mandoul, Lac Iro))"
Chili,CHL,CHLt,Total
Chili,CHL,CHLr111,Aisen
Chili,CHL,CHLr102,Antofagasta
Chili,CHL,CHLr109,Arbucania
Chili,CHL,CHLr103,Atacama
Chili,CHL,CHLr108,Bio Bio
Chili,CHL,CHLr104,Coquimbo
Chili,CHL,CHLr110,Los Lagos (incl Los Rios)
Chili,CHL,CHLr112,Magallanes and La Antartica Chilena
Chili,CHL,CHLr107,Maule
Chili,CHL,CHLr106,OHiggins
Chili,CHL,CHLr113,Region Metropolitana
Chili,CHL,CHLr101,Tarapaca (incl Arica and Parinacota)
Chili,CHL,CHLr105,Valparaiso (former Aconcagua)
China,CHN,CHNt,Total
China,CHN,CHNr112,Anhui
China,CHN,CHNr101,Beijing
China,CHN,CHNr122,Chongqing
China,CHN,CHNr113,Fujian
China,CHN,CHNr128,Gansu
China,CHN,CHNr119,Guangdong
China,CHN,CHNr120,Guangxi
China,CHN,CHNr124,Guizhou
China,CHN,CHNr121,Hainan
China,CHN,CHNr103,Hebei
China,CHN,CHNr108,Heilongjiang
China,CHN,CHNr116,Henan
China,CHN,CHNr132,Hongkong
China,CHN,CHNr117,Hubei
China,CHN,CHNr118,Hunan
China,CHN,CHNr105,Inner Mongolia
China,CHN,CHNr110,Jiangsu
China,CHN,CHNr114,Jiangxi
China,CHN,CHNr107,Jilin
China,CHN,CHNr106,Liaoning
China,CHN,CHNr130,Ningxia
China,CHN,CHNr129,Qinghai
China,CHN,CHNr127,Shaanxi
China,CHN,CHNr115,Shandong
China,CHN,CHNr109,Shanghai
China,CHN,CHNr104,Shanxi
China,CHN,CHNr123,Sichuan
China,CHN,CHNr133,Taiwan
China,CHN,CHNr102,Tianjin
China,CHN,CHNr126,Tibet
China,CHN,CHNr131,Xinjiang
China,CHN,CHNr125,Yunnan
China,CHN,CHNr111,Zhejiang
Colombia,COL,COLt,Total
Colombia,COL,COLr129,Amazonas
Colombia,COL,COLr101,Antioquia (incl Medellin)
Colombia,COL,COLr125,Arauca
Colombia,COL,COLr102,Atlantico (incl Barranquilla)
Colombia,COL,COLr103,Bogota D.C.
Colombia,COL,COLr104,Bolivar (Sur and Norte)
Colombia,COL,COLr105,Boyaca
Colombia,COL,COLr106,Caldas
Colombia,COL,COLr107,Caqueta
Colombia,COL,COLr126,Casanare
Colombia,COL,COLr108,Cauca
Colombia,COL,COLr109,Cesar
Colombia,COL,COLr112,Choco
Colombia,COL,COLr110,Cordoba
Colombia,COL,COLr111,Cundinamarca
Colombia,COL,COLr130,Guainja
Colombia,COL,COLr114,Guajira
Colombia,COL,COLr131,Guaviare
Colombia,COL,COLr113,Huila
Colombia,COL,COLr115,Magdalena
Colombia,COL,COLr116,Meta
Colombia,COL,COLr117,Narino
Colombia,COL,COLr118,Norte de Santander
Colombia,COL,COLr127,Putumayo
Colombia,COL,COLr119,Quindio
Colombia,COL,COLr120,Risaralda
Colombia,COL,COLr128,San Andres
Colombia,COL,COLr121,Santander
Colombia,COL,COLr122,Sucre
Colombia,COL,COLr123,Tolima
Colombia,COL,COLr124,Valle (incl Cali)
Colombia,COL,COLr132,Vaupis
Colombia,COL,COLr133,Vichada
Comoros,COM,COMt,Total
Comoros,COM,COMr103,Anjouan (Ndzouani)
Comoros,COM,COMr101,Grande Comore (Ngazidja)
Comoros,COM,COMr102,Moheli
Congo Brazzaville,COG,COGt,Total
Congo Brazzaville,COG,COGr204, Bouenza
Congo Brazzaville,COG,COGr211, Brazzaville
Congo Brazzaville,COG,COGr207, Cuvette
Congo Brazzaville,COG,COGr208, Cuvette Ouest
Congo Brazzaville,COG,COGr201, Kouilou
Congo Brazzaville,COG,COGr203, Lekoumou
Congo Brazzaville,COG,COGr210, Likouala
