Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Bangladesh","BGD","Subnat","BGDr211"," Kishoreganj, Mymensingh, Netrakona",,,,,,6.01,,,,,,,,15.8,,,,,,,15.8,,,11.6,,,,
"Bangladesh","BGD","Subnat","BGDr221"," Kurigram, Lalmonirhat, Rangpur",,,,,,5.90,,,,,,,,11.1,,,,,,,14.1,,,17.5,,,,
"Bangladesh","BGD","Subnat","BGDr222"," Maulvibazar, Sylhet",,,,,,2.84,,,,,,,,18.1,,,,,,,18.1,,,23.9,,,,
"Bangladesh","BGD","Subnat","BGDr217"," Naogaon, Nawabganj, Rajshahi",,,,,,11.6,,,,,,,,10.2,,,,,,,10.1,,,17.5,,,,
"Bangladesh","BGD","Subnat","BGDr218"," Natore, Pabna, Sirajganj",,,,,,6.17,,,,,,,,12.0,,,,,,,17.9,,,20.9,,,,
"Barbados","BRB","Subnat","BRBr102","Christ Church and St. Philip",,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,
"Barbados","BRB","Subnat","BRBr101","St Michael",,,,,,,,,,,,,,,,,,,,,,92.9,,,,,,
"Barbados","BRB","Subnat","BRBr103","St. James, St. George, and St. Thomas",,,,,,,,,,,,,,,,,,,,,,47.9,,,,,,
"Barbados","BRB","Subnat","BRBr104","St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John",,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,
"Belarus","BLR","Subnat","BLRr101","Brest region",,,,,,,,,,,,,,,57.8,,,,,,,63.8,,,,,,
"Belarus","BLR","Subnat","BLRr103","Gomel region",,,,,,,,,,,,,,,67.5,,,,,,,72.1,,,,,,
"Belarus","BLR","Subnat","BLRr104","Grodno region",,,,,,,,,,,,,,,58.1,,,,,,,66.9,,,,,,
"Belarus","BLR","Subnat","BLRr105","Minsk region",,,,,,,,,,,,,,,74.0,,,,,,,78.3,,,,,,
"Belarus","BLR","Subnat","BLRr106","Mogilev region",,,,,,,,,,,,,,,66.5,,,,,,,73.4,,,,,,
"Belarus","BLR","Subnat","BLRr102","Vitebsk region",,,,,,,,,,,,,,,62.5,,,,,,,71.7,,,,,,
"Belize","BLZ","Subnat","BLZr102","Belize",,,,,,,,,,,,,,,,80.0,,,,,73.7,,,,,,,
"Belize","BLZ","Subnat","BLZr103","Cayo",,,,,,,,,,,,,,,,52.9,,,,,15.9,,,,,,,
"Belize","BLZ","Subnat","BLZr101","Corozal, Orange Walk",,,,,,,,,,,,,,,,31.0,,,,,25.8,,,,,,,
"Belize","BLZ","Subnat","BLZr104","Stann Creek, Toledo",,,,,,,,,,,,,,,,25.2,,,,,41.0,,,,,,,
"Benin","BEN","Subnat","BENr101","Atacora (incl Donga)",,,,,,35.6,,,,,32.5,,,,,37.4,,,,,34.2,,,,,,,37.1
"Benin","BEN","Subnat","BENr102","Atlantique (incl Littoral (Cotonou))",,,,,,57.2,,,,,61.7,,,,,63.4,,,,,70.4,,,,,,,59.4
"Benin","BEN","Subnat","BENr103","Borgou (incl Alibori)",,,,,,34.0,,,,,35.1,,,,,34.1,,,,,36.4,,,,,,,32.3
"Benin","BEN","Subnat","BENr104","Mono (incl Couffo)",,,,,,22.6,,,,,18.0,,,,,20.3,,,,,23.9,,,,,,,34.7
"Benin","BEN","Subnat","BENr105","Queme (incl Plateau)",,,,,,41.0,,,,,41.7,,,,,38.6,,,,,38.9,,,,,,,53.7
"Benin","BEN","Subnat","BENr106","Zou (incl Collines)",,,,,,24.3,,,,,19.8,,,,,26.3,,,,,27.2,,,,,,,25.9
"Bhutan","BTN","Subnat","BTNr101","Bumthang",,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,
"Bhutan","BTN","Subnat","BTNr102","Chukha",,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,
"Bhutan","BTN","Subnat","BTNr103","Dagana",,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,
"Bhutan","BTN","Subnat","BTNr104","Gasa",,,,,,,,,,,,,,,,,,,,9.01,,,,,,,,
"Bhutan","BTN","Subnat","BTNr105","Haa",,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,
"Bhutan","BTN","Subnat","BTNr106","Lhuntse",,,,,,,,,,,,,,,,,,,,8.45,,,,,,,,
"Bhutan","BTN","Subnat","BTNr107","Mongar",,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,
"Bhutan","BTN","Subnat","BTNr108","Paro",,,,,,,,,,,,,,,,,,,,8.81,,,,,,,,
"Bhutan","BTN","Subnat","BTNr109","Pemagatshel",,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,
"Bhutan","BTN","Subnat","BTNr110","Punakha",,,,,,,,,,,,,,,,,,,,7.09,,,,,,,,
"Bhutan","BTN","Subnat","BTNr111","Samdrup jongkhar",,,,,,,,,,,,,,,,,,,,24.8,,,,,,,,
"Bhutan","BTN","Subnat","BTNr112","Samtse",,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,
"Bhutan","BTN","Subnat","BTNr113","Sarpang",,,,,,,,,,,,,,,,,,,,30.6,,,,,,,,
"Bhutan","BTN","Subnat","BTNr114","Thimphu",,,,,,,,,,,,,,,,,,,,86.2,,,,,,,,
"Bhutan","BTN","Subnat","BTNr115","Trashigang",,,,,,,,,,,,,,,,,,,,8.67,,,,,,,,
"Bhutan","BTN","Subnat","BTNr116","Trashiyangtse",,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,
"Bhutan","BTN","Subnat","BTNr117","Trongsa",,,,,,,,,,,,,,,,,,,,18.2,,,,,,,,
"Bhutan","BTN","Subnat","BTNr118","Tsirang",,,,,,,,,,,,,,,,,,,,9.61,,,,,,,,
"Bhutan","BTN","Subnat","BTNr119","Wangdi",,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,
"Bhutan","BTN","Subnat","BTNr120","Zhemgang",,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,
"Bolivia","BOL","Subnat","BOLr108","Beni",,,,,,,,73.3,,,,,71.0,,,,,78.1,,,,,,,,,,
"Bolivia","BOL","Subnat","BOLr101","Chuquisaca",,,,,,,,42.0,,,,,36.7,,,,,40.7,,,,,,,,,,
"Bolivia","BOL","Subnat","BOLr103","Cochabamba",,,,,,,,61.4,,,,,58.4,,,,,55.0,,,,,,,,,,
"Bolivia","BOL","Subnat","BOLr102","La Paz",,,,,,,,68.8,,,,,64.2,,,,,60.1,,,,,,,,,,
"Bolivia","BOL","Subnat","BOLr104","Oruro",,,,,,,,77.6,,,,,66.0,,,,,56.6,,,,,,,,,,
