Country,ISO_Code,Level,GDLCODE,Region,"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Iraq","IRQ","National","IRQt","Total",,,,,,,,,,,,,3.36,2.98,2.61,2.23,1.85,1.48,1.10,0.73,0.35,0.31,0.27,0.23,0.18,0.14,0.10,0.06
"Jamaica","JAM","National","JAMt","Total",,,,,,,,,,,,,,16.1,14.3,12.5,10.7,8.91,7.12,5.32,3.52,8.37,13.2,18.1,22.9,,,
"Jordan","JOR","National","JORt","Total",,,,,,,,,0.68,0.63,0.58,0.53,0.48,0.43,0.38,0.33,0.28,0.23,0.17,0.12,0.06,0.01,0.02,0.03,0.03,0.04,0.05,0.06
"Kazakhstan","KAZ","National","KAZt","Total",,3.29,3.53,3.76,3.99,4.22,4.46,4.69,4.92,4.27,3.61,2.96,2.31,1.66,1.00,0.35,0.34,0.33,0.32,0.31,0.26,0.21,0.15,0.10,0.05,0.04,0.02,0.01
"Kenya","KEN","National","KENt","Total",80.3,80.5,80.7,80.8,81.0,81.1,81.3,81.5,81.4,81.3,81.1,81.0,80.9,77.9,74.8,71.8,68.8,65.7,63.1,60.4,57.8,55.1,52.5,49.8,47.1,44.5,41.8,
"Kosovo","XKO","National","KSVt","Total",,,,,,,,,,,,,,,,,,,,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,
"Kyrgyzstan","KGZ","National","KGZt","Total",,,,15.5,14.4,13.3,12.2,11.1,9.98,8.89,7.79,6.69,5.59,4.50,3.40,2.30,1.97,1.64,1.31,0.97,0.64,0.31,0.23,0.15,0.14,0.14,0.13,0.12
"Lao","LAO","National","LAOt","Total",,,,,,,,,,,,,,,,,,,27.3,25.0,22.7,20.4,18.1,15.8,13.5,11.2,8.93,6.63
"Lesotho","LSO","National","LSOt","Total",,,,,,,,,,,83.7,81.3,78.9,76.5,74.1,71.7,69.3,66.9,64.5,62.1,58.6,55.1,51.6,48.1,44.5,41.0,37.5,
"Liberia","LBR","National","LBRt","Total",,,,,,,,,,,,,,82.6,81.1,79.5,78.0,76.4,74.9,73.3,71.8,70.2,68.7,67.1,65.6,64.0,,
"Madagascar","MDG","National","MDGt","Total",87.6,88.3,89.0,89.7,90.5,91.2,91.9,90.6,89.4,88.1,86.8,85.6,84.3,83.1,83.2,83.3,83.5,83.6,83.8,81.7,79.5,77.4,75.3,73.2,71.1,68.9,66.8,64.7
"Malawi","MWI","National","MWIt","Total",94.4,94.2,94.1,93.9,93.8,93.7,93.5,93.4,93.3,93.1,93.2,93.3,93.4,93.5,92.7,91.8,90.9,90.0,89.2,88.3,86.9,85.6,84.2,82.8,81.5,80.1,78.7,77.4
"Malaysia","MYS","National","MYSt","Total",,,,,,,8.28,7.72,7.17,6.61,6.05,5.50,4.94,4.38,3.82,3.27,2.71,2.15,1.59,1.04,0.48,0.32,0.17,0.01,,,,
"Maldives","MDV","National","MDVt","Total",,,,,,,,,,,,,,,,0.67,0.61,0.56,0.50,0.44,0.39,0.33,0.28,0.22,0.16,0.11,0.05,0.04
"Mali","MLI","National","MLIt","Total",,89.5,89.6,89.7,89.8,89.9,90.0,90.1,90.2,90.3,90.4,88.7,87.0,85.4,83.7,82.0,79.2,76.3,73.5,70.7,67.9,65.0,62.2,58.8,55.4,52.0,48.6,45.2
"Mauritania","MRT","National","MRTt","Total",,,,,,,,92.0,88.5,85.0,81.5,78.0,74.6,71.1,67.6,64.1,60.6,59.6,58.5,57.4,56.3,55.2,54.1,53.0,,,,
"Mauritius","MUS","National","MUSt","Total",,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,
"Mexico","MEX","National","MEXt","Total",,,,,,,0.05,0.46,0.88,1.30,1.72,2.14,2.55,2.97,3.39,3.81,4.23,4.64,5.06,5.48,4.52,3.55,2.59,1.62,0.66,0.44,0.23,0.01
